# ARK mod registry — Steam Workshop ID <TAB> name.
# Auto-synced from Steam via: ./scripts/ark.sh mods-sync
# This is the catalog the per-map mod editor (./scripts/ark.sh mods-edit <Map>) selects from.
731604991	Structures Plus (S+)
1404697612	Awesome SpyGlass!
1609138312	Dino Storage v2
630601751	Resource Stacks
821530042	Upgrade Station v1.8i
1251632107	Immersive Taming
733089781	Natural Babies
1139981401	The Tombstone (Inventory recovery after death)
1522327484	ARK Additions: The Collection!
1445395055	ARK Additions: Domination Rex!
3680218508	How to Train your Dragon (Collection)
3737348164	ARK Quality Of Life [ARKQOL] - Forges
1445181373	RP Visual Storage
972887420	Jurassic Park Expansion : Discontinued
